acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,like
0.471,1.167,1.998,13.209,0.274,1.1084419806,0.1167,1.4413422104,0.1995,:(
0.943,7.17,3.276,7.371,0.0725,1.0293946548,0.1065,1.4024959924,0.194,:(
0.991,6.375,0.8838,18.774,0.105,1.61845122,0.1395,1.5165170184,0.965,:(
0.879,5.73,3.096,0.0007875,0.103,1.0811347226,0.1074,2.4875937964,0.55,:(
0.796,2.445,2.736,20.706,0.0934,1.1057728502,0.1131,2.142206662,0.171,:(
0.989,2.61,0.7272,19.992,0.0648,1.5719809738,0.1494,2.67106596,0.181,:(
0.886,2.505,1.7622,18.795,0.0927,1.1808506998,0.114,2.206366846,0.3185,:(
0.98,1.935,0.3456,18.312,0.0878,2,0.1116,1.5710590756,0.176,:(
0.531,8.22,3.474,14.007,0.111,1.3607774698,0.1044,1.8294700196,0.4475,:(
0.994,7.68,0.549,19.446,0.0875,1.4175136022,0.1182,1.8682768996,0.77,:(
0.904,2.565,3.528,18.438,0.106,1.0814084796,0.1218,2.4542745592,0.223,:(
0.982,3.855,2.736,18.774,0.0631,1.5180508504,0.114,3.4789689524,0.1495,:(
0.641,7.77,11.016,18.774,0.0617,0.7840399686,0.0936,2.2024330516,3.665,:(
0.67,8.745,9.144,15.897,0.119,0.6336789516,0.1062,2.3594111112,3.985,:(
0.842,6.315,2.106,19.908,0.116,1.21157992,0.12,2.047756262,0.905,:(
0.0462,11.01,11.466,0.0004809,0.0602,0.3885295828,0.423,3.34327272,3.24,:(
0.318,8.895,3.798,0,0.101,0.564555316,0.819,1.888693292,4.17,:(
0.0631,10.035,12.852,0.04494,0.117,0.3681346884,0.1185,2.4585623948,2.135,:(
0.0512,10.59,11.25,14.427,0.0816,0.6803545152,0.1065,1.9664840732,0.3175,:(
0.699,10.59,5.4,0.5691,0.108,0.9730691578,0.0906,2.142009972,0.4095,:(
0.023,10.305,17.334,16.191,0.111,0.3317250112,0.2592,3.4427190384,1.415,:(
0.206,6.42,11.772,0.00294,0.196,0.4471820142,0.1026,1.6909021172,2.18,:(
0.95,6.36,2.826,1.2453,0.101,1.2415563084,0.1284,1.800438618,1.71,:(
0.965,6.09,2.592,0.0005082,0.0857,0.6796701228,0.1065,2.291140112,1.13,:(
0.205,11.805,17.406,18.774,0.0877,0.2255757452,0.2145,3.7550426324,4.85,:(
0.309,9.39,5.976,4.851,0.0795,0.6145844026,0.0873,2.4778183176,0.82,:(
0.41,10.08,16.11,2.31,0.113,0.3335728706,0.1152,1.7900534012,2.685,:(
0.00856,9.24,12.276,5.901,0.269,0.6555795092,0.1389,3.2851312412,3.065,:(
7.68E-05,6.24,13.716,16.506,0.0521,0.5066557164,0.1029,3.3228759968,3.625,:(
0.273,8.385,8.406,2.667E-05,0.654,0.8584334258,0.1011,2.26383958,2.94,:(
4.2E-05,4.32,16.326,12.159,0.277,0.3937309654,0.1728,1.6616936952,1.745,:(
0.096,9.24,11.808,0.018459,0.205,0.4994695958,0.1032,2.9517421792,1.43,:(
0.856,8.01,4.572,0.002268,0.0724,0.7184751736,0.0978,2.540365646,0.825,:(
0.691,10.215,9.468,10.815,0.123,0.865003593,0.084,2.7445885744,2.315,:(
0.36,9.96,14.364,0,0.225,0.336173562,0.1119,2.55615983,3.325,:(
0.00201,8.01,16.65,0.014532,0.134,0.3557471854,0.105,3.2827512956,3.765,:(
0.00576,9.075,8.64,0.0015372,0.143,0.434999829,0.0855,1.7706401268,4.055,:(
0.0124,10.53,11.556,0.0015078,0.108,0.4074872532,0.0789,2.4397588584,4.015,:(
0.994,6.27,1.908,0.6132,0.179,1.5403620436,0.1344,0.9188949972,4,:(
0.0327,10.575,15.282,0,0.152,0.3808643876,0.543,2.5552747264,2.455,:(
0.0834,10.005,14.418,0.11697,0.513,0.3343941416,1.107,1.606423886,2.79,:(
0.12,12.315,12.888,0,0.126,0.2941518666,0.408,2.0642191912,3.5,:(
0.596,8.985,9.018,0.0003486,0.321,0.5100092392,0.396,2.4932781292,2.87,:(
0.0137,3.57,11.124,0,0.0727,0.4452657154,0.1119,2.7512563556,1.03,:(
0.0699,13.47,12.078,0.0010857,0.12,0.4066659822,0.681,2.8518434744,3.34,:(
0.617,10.395,8.424,0,0.373,0.6569482942,0.474,1.9072608008,3.18,:(
0.168,11.895,12.924,0,0.241,0.339869281,0.1641,2.8890768368,3.245,:(
0.244,9.945,15.624,0,0.287,0.5765321836,0.468,1.7875357728,3.435,:(
0.165,13.59,10.746,6.174E-05,0.0775,0.1756150976,0.2292,2.4391097824,4.835,:(
0.0312,8.595,12.384,0,0.0962,0.499811792,0.1116,2.1781222032,0.945,:(
0.199,8.97,7.47,0,0.111,0.4846182802,0.2004,2.3632465604,1.495,:(
0.423,12.105,12.258,0,0.0962,0.4289771756,0.2949,2.753773984,3.38,:(
0.0597,6.945,17.37,0.0651,0.117,0.1998425898,0.477,4,3.09,:(
0.0149,13.815,8.406,0.004998,0.334,0.5778325292,0.357,2.6748817404,1.435,:(
0.33,9.885,12.888,0,0.173,0.3882558258,0.333,2.9113027744,2.185,:(
0.0203,8.31,15.21,0,0.404,0.2112719434,0.1161,2.241318608,1.505,:(
0.837,9.27,3.906,0.003423,0.538,1.0520480444,0.1545,2.2818563576,0.436,:(
0.000729,7.77,13.266,14.91,0.378,0.4703829176,0.0825,1.810115752,1.51,:(
0.851,3.285,0.2052,18.984,0.207,1.9581836224,0.1545,2.4545105868,0.1575,:(
0.013,7.635,9.486,0.5061,0.0525,0.7322314616,0.0942,2.9119911884,0.875,:(
0.00314,7.935,11.196,9.786,0.0979,0.6000752832,0.1398,2.4511865308,1.85,:(
0.000389,5.76,17.388,19.11,0.322,0.3079081546,0.456,3.54210635,1.3,:(
0.312,7.26,10.044,14.637,0.261,0.9075728022,0.1131,3.4234041088,1.665,:(
0.777,8.1,6.282,18.585,0.118,1.1899531192,0.1041,2.1226753736,2.005,:(
0.411,5.595,7.92,17.409,0.132,0.9885364268,0.0966,1.426020082,1.33,:(
0.988,4.515,3.942,19.383,0.145,1.2904903672,0.1146,2.7070601772,1.185,:(
0.000416,4.65,15.732,14.952,0.0695,0.8136741608,0.456,2.5907378816,0.48,:(
0.000779,8.505,10.458,16.338,0.0677,0.6863087294,0.0858,2.3600995248,1.19,:(
0.0648,7.83,13.302,18.543,0.991,0.4032440202,0.0864,1.3472655212,2.675,:(
0.2,4.935,12.402,18.438,0.172,0.7087568012,0.1173,1.9663660592,0.54,:(
0.114,4.245,8.478,18.333,0.96,0.9483625912,0.0996,2.1322148244,0.62,:(
0.00086,7.305,14.652,15.897,0.166,0.6528419396,0.2082,2.59305882,2.205,:(
0.198,5.85,15.39,14.07,0.515,0.6133524964,0.2001,2.1947228152,1.555,:(
0.152,8.85,10.62,17.472,0.142,0.4822913458,0.081,2.2618333448,0.4475,:(
0.000299,6.27,14.202,6.3,0.119,0.6561954624,0.2232,2.5798806092,1.815,:(
0.193,10.035,8.964,14.826,0.109,0.9799130822,0.1089,2.065537012,1.335,:(
0.237,8.49,5.886,0.13545,0.0793,0.587345584,0.1257,2.7927775536,0.675,:(
0.0303,7.8,3.744,6.216,0.0819,0.9774492694,0.0861,2.8724368872,0.188,:(
0.00843,8.235,13.698,15.939,0.112,0.7557745612,0.123,2.6947670704,1.625,:(
0.0683,8.085,9.612,19.299,0.346,0.7754166238,0.0876,2.439424486,1.64,:(
